gene_symbol_A	hprd_id_A	protein_accession_A	gene_symbol_B	hrpd_id_B	protein_accession_B
RPS6KA3	2092	NP_004577.1	HIST3H3	4156	NP_003484.1
PEA15	4579	NP_003759.1	RPS6KA3	2092	NP_004577.1
PDPK1	5556	NP_002604.1	RPS6KA3	2092	NP_004577.1
GRIN1	15926	NP_015566.1	RPS6KA3	2092	NP_004577.1
XIAP	2094	NP_001158.2	XIAP	2094	NP_001158.2
MAGED1	2202	NP_001005333.1	XIAP	2094	NP_001158.2
CASP3	2799	NP_004337.2	XIAP	2094	NP_001158.2
CASP7	3457	NP_203124.1	XIAP	2094	NP_001158.2
CAMK2A	6532	NP_057065.2	ATP2A2	161	NP_733765.1
CASP9	3756	NP_001220.2	XIAP	2094	NP_001158.2
TRAF6	3833	NP_665802.1	XIAP	2094	NP_001158.2
MAP3K7	4011	NP_663304.1	XIAP	2094	NP_001158.2
MAP3K7IP1	4012	NP_006107.1	XIAP	2094	NP_001158.2
MAP3K7IP2	5483	NP_055908.1	XIAP	2094	NP_001158.2
DIABLO	5560	NP_063940.1	XIAP	2094	NP_001158.2
HTRA2	5919	NP_037379.1	XIAP	2094	NP_001158.2
COMMD1	6253	NP_689729.1	XIAP	2094	NP_001158.2
XAF1	6978	NP_059993.2	XIAP	2094	NP_001158.2
STRADB	9546	NP_061041.2	XIAP	2094	NP_001158.2
LASS2	6080	NP_859530.1	ATP6V0C	162	NP_001685.1
SFRS12	18043	NP_001070667.1	RBM10	2095	NP_005667.2
PKIA	5828	NP_006814.1	PRKX	2097	NP_005035.1
AR	2437	NP_000035.2	NONO	2098	NP_031389.3
SFPQ	7284	NP_005057.1	NONO	2098	NP_031389.3
POLR2A	8916	NP_000928.1	NONO	2098	NP_031389.3
SOS1	1681	NP_005624.2	ATP6V1E1	163	NP_001687.1
IDH3A	3094	NP_005521.1	IDH3G	2100	NP_004126.1
IDH3B	5163	NP_008830.2	IDH3G	2100	NP_004126.1
HECW1	11385	NP_055867.3	SSR4	2101	NP_006271.1
SSR3	16206	NP_009038.1	SSR4	2101	NP_006271.1
YWHAZ	3183	NP_003397.1	PRKCI	2105	NP_002731.4
SQSTM1	3319	NP_003891.1	PRKCI	2105	NP_002731.4
RAC1	3627	NP_061485.1	PRKCI	2105	NP_002731.4
MAP2K5	3951	NP_660144.1	PRKCI	2105	NP_002731.4
ALDOB	1972	NP_000026.2	ATP6V1E1	163	NP_001687.1
PNMA1	4926	NP_006020.4	PRKCI	2105	NP_002731.4
PDPK1	5556	NP_002604.1	PRKCI	2105	NP_002731.4
RHOQ	5791	NP_036381.2	PRKCI	2105	NP_002731.4
PARD3	5994	NP_062565.2	PRKCI	2105	NP_002731.4
SMG1	6123	NP_055907.3	PRKCI	2105	NP_002731.4
PARD6A	6316	NP_058644.1	PRKCI	2105	NP_002731.4
FRS2	6372	NP_006645.3	PRKCI	2105	NP_002731.4
FRS3	6373	NP_006644.1	PRKCI	2105	NP_002731.4
MARK4	9402	NP_113605.2	PRKCI	2105	NP_002731.4
ADAP1	9733	NP_006860.1	PRKCI	2105	NP_002731.4
SLC9A3R1	5406	NP_004243.1	ATP6V1E1	163	NP_001687.1
PARD6G	10138	NP_115899.1	PRKCI	2105	NP_002731.4
PARD6B	18703	NP_115910.1	PRKCI	2105	NP_002731.4
BTK	2248	NP_000052.1	BMX	2111	NP_975010.1
STAT1	2777	NP_009330.1	BMX	2111	NP_975010.1
TEC	2786	NP_003206.2	BMX	2111	NP_975010.1
CASP3	2799	NP_004337.2	BMX	2111	NP_975010.1
PTK2	2859	NP_005598.3	BMX	2111	NP_975010.1
CAV1	3028	NP_001744.2	BMX	2111	NP_975010.1
STAT5A	3301	NP_003143.2	BMX	2111	NP_975010.1
ATP6V1G2	6030	NP_569730.1	ATP6V1E1	163	NP_001687.1
PAK1	3995	AAC24716.1	BMX	2111	NP_975010.1
PTPN21	4468	NP_008970.2	BMX	2111	NP_975010.1
RAB9A	2236	NP_004242.1	GDI1	2114	NP_001484.1
RHOH	3616	NP_004301.1	GDI1	2114	NP_001484.1
RAC2	3628	NP_002863.1	GDI1	2114	NP_001484.1
RABAC1	5375	NP_006414.2	GDI1	2114	NP_001484.1
RAB1B	11469	NP_112243.1	GDI1	2114	NP_001484.1
RHOD	5776	NP_055393.1	DIAPH2	2117	NP_006720.1
NCKIPSD	9450	NP_057537.1	DIAPH2	2117	NP_006720.1
CABP4	12344	NP_660201.1	CACNA1F	2119	NP_005174.2
ATP6V1H	10591	NP_998785.1	ATP6V1E1	163	NP_001687.1
BCAP31	2319	NP_001132929.1	PLP2	2121	NP_002659.1
DLG4	4199	NP_001356.1	IL13RA1	2125	NP_001551.1
DCX	2127	NP_000546.2	DCX	2127	NP_000546.2
PAFAH1B1	3329	NP_000421.1	DCX	2127	NP_000546.2
PPP1R9B	4506	NP_115984.3	DCX	2127	NP_000546.2
NFASC	12372	NP_001005388.2	DCX	2127	NP_000546.2
RAC1	3627	NP_061485.1	OPHN1	2130	NP_002538.1
NPR3	167	NP_000899.1	NPPA	164	NP_006163.1
TLE1	2557	NP_005068.2	KDM6A	2131	NP_066963.2
BYSL	4848	NP_004044.3	TRO	2134	NP_001034794.1
MSH4	3658	NP_002431.2	VBP1	2135	NP_003363.1
ACVR1B	3193	NP_004293.1	IGSF1	2138	NP_001546.2
ACVR2B	4106	NP_001097.2	IGSF1	2138	NP_001546.2
RANBP10	15207	NP_065901.1	IGSF1	2138	NP_001546.2
HECTD1	17098	NP_056197.2	IGSF1	2138	NP_001546.2
TRAPPC2	2189	NP_055378.1	CLIC2	2139	NP_001280.3
TTN	1787	NP_596869.3	ACTN1	20	NP_001123476.1
MME	392	NP_000893.2	NPPA	164	NP_006163.1
PPP6C	2141	NP_001116827.1	IGBP1	2140	NP_001542.1
MID2	2191	NP_036348.2	IGBP1	2140	NP_001542.1
PPP4C	3615	NP_002711.1	IGBP1	2140	NP_001542.1
PPP2CA	8912	NP_002706.1	IGBP1	2140	NP_001542.1
PAK3	2142	NP_001121640.1	PAK3	2142	NP_001121640.1
ARHGEF6	2226	NP_004831.1	PAK3	2142	NP_001121640.1
PAK3	2142	NP_001121640.1	MYO6	2985	NP_004990.3
PXN	3937	BAA18998.1	PAK3	2142	NP_001121640.1
ARHGEF7	5688	NP_001106983.1	PAK3	2142	NP_001121640.1
GIT1	6577	NP_001078923.1	PAK3	2142	NP_001121640.1
GIT2	9779	NP_476510.1	PAK3	2142	NP_001121640.1
CREBBP	2534	NP_004371.2	CITED1	2146	NP_001138357.1
SMAD4	2995	NP_005350.1	CITED1	2146	NP_001138357.1
TFAP2C	3361	NP_003213.1	CITED1	2146	NP_001138357.1
EP300	4078	NP_001420.2	CITED1	2146	NP_001138357.1
HSPA8	7205	NP_006588.1	CITED1	2146	NP_001138357.1
PRKG1	8910	NP_006249.1	NPR1	165	NP_000897.3
ACTN3	2148	NP_001095.1	ACTN3	2148	NP_001095.1
MYPN	10536	NP_115967.2	ACTN3	2148	NP_001095.1
NPPB	8974	NP_002512.1	NPR1	165	NP_000897.3
PPP4C	3615	NP_002711.1	TMSB4X	2153	NP_066932.1
ILK	3842	NP_004508.1	TMSB4X	2153	NP_066932.1
LIMS1	3978	NP_004978.2	TMSB4X	2153	NP_066932.1
SFRS12	18043	NP_001070667.1	DDX3X	2154	NP_001347.3
METAP2	3522	NP_006829.1	EIF2S3	2155	NP_001406.1
FHL2	4026	NP_001441.4	FHL1	2157	NP_001440.2
NPPC	8975	NP_077720.1	NPR2	166	NP_003986.2
CASK	2164	NP_003679.2	CASK	2164	NP_003679.2
KCNJ4	2738	NP_690607.1	CASK	2164	NP_003679.2
KCNJ2	2815	NP_000882.1	CASK	2164	NP_003679.2
DLG1	3007	NP_004078.2	CASK	2164	NP_003679.2
GABPB1	15975	NP_005245.2	CIC	10831	NP_055940.3
APBA1	3879	NP_001154.2	CASK	2164	NP_003679.2
PARK2	3967	NP_004553.2	CASK	2164	NP_003679.2
NPHS1	4094	NP_004637.1	CASK	2164	NP_003679.2
DLG4	4199	NP_001356.1	CASK	2164	NP_003679.2
LIN7A	4542	NP_004655.1	CASK	2164	NP_003679.2
CNTNAP2	5197	NP_054860.1	CASK	2164	NP_003679.2
CADM1	5746	NP_055148.3	CASK	2164	NP_003679.2
TSPYL2	6713	NP_071400.1	CASK	2164	NP_003679.2
TBR1	7055	NP_006584.1	CASK	2164	NP_003679.2
SDC4	8366	NP_002990.2	CASK	2164	NP_003679.2
NPPB	8974	NP_002512.1	NPR3	167	NP_000899.1
ID1	8980	NP_002156.2	CASK	2164	NP_003679.2
NRXN3	8989	CAC87720.2	CASK	2164	NP_003679.2
KCNJ12	9083	NP_066292.2	CASK	2164	NP_003679.2
DFNB31	9718	NP_056219.2	CASK	2164	NP_003679.2
LIN7B	10040	NP_071448.1	CASK	2164	NP_003679.2
CASKIN1	10809	NP_065815.1	CASK	2164	NP_003679.2
NRXN1	11858	NP_001129131.1	CASK	2164	NP_003679.2
NRXN2	11859	NP_055895.1	CASK	2164	NP_003679.2
CNTNAP4	13079	NP_207837.2	CASK	2164	NP_003679.2
NPPC	8975	NP_077720.1	NPR3	167	NP_000899.1
FCHSD2	13321	NP_055639.2	CASK	2164	NP_003679.2
RPH3A	15273	NP_001137326.1	CASK	2164	NP_003679.2
TANC1	18146	NP_203752.2	CASK	2164	NP_003679.2
PSMD10	4594	NP_002805.1	MAGEA4	2167	NP_002353.3
AR	2437	NP_000035.2	MED14	2172	NP_004220.2
HNF4A	2612	CAA89989.1	MED14	2172	NP_004220.2
STAT2	2778	NP_005410.1	MED14	2172	NP_004220.2
MED1	5055	NP_004765.2	MED14	2172	NP_004220.2
MED29	13748	NP_060062.1	MED14	2172	NP_004220.2
MED9	14383	NP_060489.1	MED14	2172	NP_004220.2
SSB	168	NP_003133.1	SSB	168	NP_003133.1
AKAP3	5256	NP_006413.2	AKAP4	2173	NP_003877.2
FSIP2	8177	NP_775922.1	AKAP4	2173	NP_003877.2
FSIP1	8201	NP_689810.3	AKAP4	2173	NP_003877.2
EIF5	3417	NP_001960.2	EIF1AX	2174	NP_001403.1
EIF2S1	4881	NP_004085.1	EIF1AX	2174	NP_001403.1
EIF3C	4889	NP_003743.1	EIF1AX	2174	NP_001403.1
EIF5B	7304	NP_056988.3	EIF1AX	2174	NP_001403.1
IPO13	13742	NP_055467.3	EIF1AX	2174	NP_001403.1
MED12	2176	NP_005111.2	MED12	2176	NP_005111.2
NCL	1245	NP_005372.2	SSB	168	NP_003133.1
CDK8	4422	NP_001251.1	MED12	2176	NP_005111.2
MED1	5055	NP_004765.2	MED12	2176	NP_005111.2
MED26	5437	NP_004822.2	MED12	2176	NP_005111.2
LYST	6060	NP_000072.2	MED12	2176	NP_005111.2
SOX9	6427	NP_000337.1	MED12	2176	NP_005111.2
MED8	6991	NP_443109.2	MED12	2176	NP_005111.2
MED13	7229	NP_005112.2	MED12	2176	NP_005111.2
MED9	14383	NP_060489.1	MED12	2176	NP_005111.2
NLGN3	2275	NP_061850.2	DLG3	2177	NP_066943.2
LRP2	2509	NP_004516.2	DLG3	2177	NP_066943.2
FBP1	1973	NP_000498.2	ACTN1	20	NP_001123476.1
GABRD	8842	NP_000806.2	UBQLN4	5670	NP_064516.2
ERBB4	2767	NP_005226.1	DLG3	2177	NP_066943.2
DLG1	3007	NP_004078.2	DLG3	2177	NP_066943.2
PTK2B	3131	NP_004094.3	DLG3	2177	NP_066943.2
GUCY1A2	3146	NP_000846.1	DLG3	2177	NP_066943.2
DLG4	4199	NP_001356.1	DLG3	2177	NP_066943.2
LIN7A	4542	NP_004655.1	DLG3	2177	NP_066943.2
CRIPT	5208	NP_054890.1	DLG3	2177	NP_066943.2
SEMA4C	7257	NP_060259.4	DLG3	2177	NP_066943.2
GDA	8849	NP_004284.1	DLG3	2177	NP_066943.2
KCNJ12	9083	NP_066292.2	DLG3	2177	NP_066943.2
GDI1	2114	NP_001484.1	UBQLN4	5670	NP_064516.2
EXOC4	12185	NP_068579.3	DLG3	2177	NP_066943.2
GRIN1	15926	NP_015566.1	DLG3	2177	NP_066943.2
SYNGAP1	16018	NP_006763.2	DLG3	2177	NP_066943.2
DLGAP4	16826	NP_055717.2	DLG3	2177	NP_066943.2
DLG3	2177	NP_066943.2	CALM1	241	NP_008819.1
RAB3IP	10565	NP_783322.1	SSX2	2180	NP_003138.3
SSX2IP	10566	NP_054740.3	SSX2	2180	NP_003138.3
NCOR2	2910	NP_006303.3	TBL1X	2183	NP_005638.1
NCOR1	2911	NP_006302.2	TBL1X	2183	NP_005638.1
SKP1	3255	NP_733779.1	TBL1X	2183	NP_005638.1
CALR	169	NP_004334.1	CALR	169	NP_004334.1
HIST2H2BE	3494	NP_003519.1	TBL1X	2183	NP_005638.1
CORO2A	3695	NP_003380.3	TBL1X	2183	NP_005638.1
HIST1H4A	4157	NP_003529.1	TBL1X	2183	NP_005638.1
HDAC3	8950	NP_003874.2	TBL1X	2183	NP_005638.1
GPS2	11878	NP_004480.1	TBL1X	2183	NP_005638.1
GYG1	6805	NP_004121.2	GYG2	2185	NP_003909.2
TRA2B	4097	NP_004584.1	RBMX	2186	NP_002130.2
SFRS12	18043	NP_001070667.1	RBMX	2186	NP_002130.2
B2M	189	NP_004039.1	CALR	169	NP_004334.1
DPP4	2187	NP_001926.2	DPP4	2187	NP_001926.2
FAP	2674	NP_004451.2	DPP4	2187	NP_001926.2
DPP4	2187	NP_001926.2	CXCL12	2904	NP_001029058.1
DPP4	2187	NP_001926.2	CCL11	3098	NP_002977.1
DPP4	2187	NP_001926.2	CCL3L1	3234	NP_066286.1
DPP4	2187	NP_001926.2	CXCL9	3416	NP_002407.1
DPP4	2187	NP_001926.2	CCL22	4263	NP_002981.2
DPP4	2187	NP_001926.2	CXCL11	5329	NP_005400.1
GRP	8845	NP_002082.2	DPP4	2187	NP_001926.2
FBN1	618	NP_000129.2	CALR	169	NP_004334.1
CPAMD8	9892	NP_056507.2	DPP4	2187	NP_001926.2
CLIC1	4188	NP_001279.2	TRAPPC2	2189	NP_055378.1
MID2	2191	NP_036348.2	MID2	2191	NP_036348.2
TRIM29	10280	NP_036233.2	MID2	2191	NP_036348.2
EBPL	13258	NP_115954.1	EBP	2192	NP_006570.1
NCS1	4500	NP_055101.2	IL1RAPL1	2193	NP_055086.1
CUL9	6317	NP_055904.1	PLXNB3	2198	NP_005384.2
ARHGEF11	9302	NP_937879.1	PLXNB3	2198	NP_005384.2
FGB	620	NP_005132.2	CALR	169	NP_004334.1
CUL7	9901	NP_055595.2	PLXNB3	2198	NP_005384.2
MAGI3	11290	NP_001136254.1	PLXNB3	2198	NP_005384.2
SPOCK2	12146	NP_055582.1	PLXNB3	2198	NP_005384.2
BTBD3	12538	NP_055777.1	PLXNB3	2198	NP_005384.2
PJA1	2335	NP_660095.1	MAGED1	2202	NP_001005333.1
DLX5	2492	NP_005212.1	MAGED1	2202	NP_001005333.1
DLX4	3553	NP_612138.1	MAGED1	2202	NP_001005333.1
ROR2	3822	NP_004551.2	MAGED1	2202	NP_001005333.1
PJA2	11436	NP_055634.3	MAGED1	2202	NP_001005333.1
NR3C1	679	NP_001019265.1	CALR	169	NP_004334.1
UNC5A	12131	NP_588610.2	MAGED1	2202	NP_001005333.1
CFTR	3883	NP_000483.3	SLC9A6	2208	NP_001036002.1
AR	2437	NP_000035.2	UXT	2209	NP_705582.1
LSM1	6281	NP_055277.1	UXT	2209	NP_705582.1
LRPPRC	6343	NP_573566.2	UXT	2209	NP_705582.1
CECR2	10463	AAK15343.1	UXT	2209	NP_705582.1
SLC2A1	683	NP_006507.2	CALR	169	NP_004334.1
HLA-C	829	NP_002108.4	CALR	169	NP_004334.1
NCOA3	3570	NP_858045.1	IKBKG	2217	NP_001093326.2
MBL2	1107	NP_000233.1	CALR	169	NP_004334.1
RIPK1	4583	NP_003795.2	IKBKG	2217	NP_001093326.2
RIPK2	4585	NP_003812.1	IKBKG	2217	NP_001093326.2
LPP	2828	NP_005569.1	ACTN1	20	NP_001123476.1
PRF1	1362	NP_005032.2	CALR	169	NP_004334.1
PPM1B	4796	NP_002697.1	IKBKG	2217	NP_001093326.2
TANK	4870	NP_004171.2	IKBKG	2217	NP_001093326.2
RAB11B	5009	NP_004209.2	IKBKG	2217	NP_001093326.2
PLAT	1419	NP_000921.1	CALR	169	NP_004334.1
ZFAND5	5302	NP_005998.1	IKBKG	2217	NP_001093326.2
TRAF3IP2	6129	NP_671733.1	IKBKG	2217	NP_001093326.2
SLC6A4	1640	NP_001036.1	CALR	169	NP_004334.1
CARD10	6233	NP_055365.2	IKBKG	2217	NP_001093326.2
THBS1	1765	NP_003237.2	CALR	169	NP_004334.1
COPS3	7262	NP_003644.2	IKBKG	2217	NP_001093326.2
TRPC4AP	9238	NP_056453.1	IKBKG	2217	NP_001093326.2
CD1D	1780	NP_001757.1	CALR	169	NP_004334.1
TF	1811	NP_001054.1	CALR	169	NP_004334.1
CARD8	16425	NP_055774.1	IKBKG	2217	NP_001093326.2
ITGAV	1903	NP_002201.1	CALR	169	NP_004334.1
TNIP2	18207	NP_077285.3	IKBKG	2217	NP_001093326.2
TIMM23	16089	NP_006318.1	TIMM17B	2218	NP_005825.1
HDAC1	3143	NP_004955.2	SUV39H1	2221	NP_003164.1
DNMT3A	4141	NP_072046.2	SUV39H1	2221	NP_003164.1
HIST1H3A	4155	NP_003520.1	SUV39H1	2221	NP_003164.1
VWF	1906	NP_000543.2	CALR	169	NP_004334.1
RBBP7	4231	NP_002884.1	SUV39H1	2221	NP_003164.1
RBBP4	4232	NP_005601.1	SUV39H1	2221	NP_003164.1
CBX5	5131	NP_036249.1	SUV39H1	2221	NP_003164.1
CBX1	5149	NP_006798.1	SUV39H1	2221	NP_003164.1
HDAC2	5521	NP_001518.2	SUV39H1	2221	NP_003164.1
SBF1	6788	NP_002963.2	SUV39H1	2221	NP_003164.1
HDAC3	8950	NP_003874.2	SUV39H1	2221	NP_003164.1
HDAC5	9246	NP_001015053.1	SUV39H1	2221	NP_003164.1
OGT	2222	NP_858058.1	OGT	2222	NP_858058.1
F5	1964	NP_000121.2	CALR	169	NP_004334.1
OGT	2222	NP_858058.1	SRF	2788	NP_003122.1
GSK3B	5418	NP_002084.2	OGT	2222	NP_858058.1
SNAP91	6391	NP_055656.1	OGT	2222	NP_858058.1
TRAK2	9547	NP_055864.2	OGT	2222	NP_858058.1
SIN3A	9690	NP_056292.1	OGT	2222	NP_858058.1
TRAK1	9732	NP_001036111.1	OGT	2222	NP_858058.1
HSPA13	3061	NP_008879.3	UBQLN2	2224	NP_038472.2
UBE3A	3375	NP_000453.2	UBQLN2	2224	NP_038472.2
PSMD4	3386	NP_002801.1	UBQLN2	2224	NP_038472.2
BTRC	4596	NP_378663.1	UBQLN2	2224	NP_038472.2
PLP1	2321	NP_000524.3	CALR	169	NP_004334.1
PAK1	3995	AAC24716.1	ARHGEF6	2226	NP_004831.1
GIT1	6577	NP_001078923.1	ARHGEF6	2226	NP_004831.1
PARVB	16284	NP_001003828.1	ARHGEF6	2226	NP_004831.1
HIST3H3	4156	NP_003484.1	HDAC8	2227	NP_060956.1
HIST4H4	13662	NP_778224.1	HDAC8	2227	NP_060956.1
RUNX2	2566	NP_001019801.3	HDAC6	2228	NP_006035.2
VCP	3013	NP_009057.1	HDAC6	2228	NP_006035.2
PLAA	4850	NP_001026859.1	HDAC6	2228	NP_006035.2
BCOR	6458	NP_001116857.1	HDAC6	2228	NP_006035.2
PTK2	2859	NP_005598.3	ACTN1	20	NP_001123476.1
F8	2384	NP_000123.1	CALR	169	NP_004334.1
HDAC11	9146	NP_079103.2	HDAC6	2228	NP_006035.2
SIRT2	10377	NP_036369.2	HDAC6	2228	NP_006035.2
ZBTB16	11762	NP_005997.2	HDAC6	2228	NP_006035.2
EDA	2347	NP_001390.1	EDA2R	2230	AAN73210.1
CASP8	3459	NP_001073594.1	EDA2R	2230	AAN73210.1
TRAF3	3539	NP_663777.1	EDA2R	2230	AAN73210.1
TRAF6	3833	NP_665802.1	EDA2R	2230	AAN73210.1
FADD	3909	NP_003815.1	EDA2R	2230	AAN73210.1
IL16	4329	AAQ86961.1	KCND1	2233	NP_004970.3
AR	2437	NP_000035.2	CALR	169	NP_004334.1
KCNIP1	6879	NP_001030009.1	KCND1	2233	NP_004970.3
IRAK1	2235	NP_001560.2	IRAK1	2235	NP_001560.2
SQSTM1	3319	NP_003891.1	IRAK1	2235	NP_001560.2
MYD88	3703	NP_002459.2	IRAK1	2235	NP_001560.2
TRAF6	3833	NP_665802.1	IRAK1	2235	NP_001560.2
FADD	3909	NP_003815.1	IRAK1	2235	NP_001560.2
IL1RAP	4021	NP_002173.1	IRAK1	2235	NP_001560.2
TLR2	4323	NP_003255.2	IRAK1	2235	NP_001560.2
IRAK2	4491	NP_001561.3	IRAK1	2235	NP_001560.2
NKX2-1	2798	NP_001073136.1	CALR	169	NP_004334.1
IRAK3	5123	NP_009130.2	IRAK1	2235	NP_001560.2
MAP3K7IP2	5483	NP_055908.1	IRAK1	2235	NP_001560.2
TOLLIP	5887	NP_061882.2	IRAK1	2235	NP_001560.2
IRAK4	6051	NP_057207.2	IRAK1	2235	NP_001560.2
TIFA	9835	NP_443096.1	IRAK1	2235	NP_001560.2
SIGIRR	12018	NP_068577.2	IRAK1	2235	NP_001560.2
TICAM2	16313	NP_067681.1	IRAK1	2235	NP_001560.2
IRAK1BP1	17157	NP_001010844.1	IRAK1	2235	NP_001560.2
PELI3	17535	NP_659502.2	IRAK1	2235	NP_001560.2
PELI1	17834	NP_065702.2	IRAK1	2235	NP_001560.2
PDIA3	3625	NP_005304.3	CALR	169	NP_004334.1
PELI2	17835	NP_067078.1	IRAK1	2235	NP_001560.2
GDI2	2863	NP_001485.2	RAB9A	2236	NP_004242.1
PLIN3	4080	NP_005808.3	RAB9A	2236	NP_004242.1
TM9SF2	9198	NP_004791.1	RAB9A	2236	NP_004242.1
RABEPK	9337	NP_005824.2	RAB9A	2236	NP_004242.1
CTBP2	4016	NP_073713.2	KLF8	2238	NP_009181.2
FHL3	9101	NP_004459.2	KLF8	2238	NP_009181.2
ATF6B	2992	NP_004372.3	MBTPS2	2243	NP_056968.1
BAD	4409	NP_004313.1	PIM2	2244	NP_006866.2
TSHR	4537	NP_000360.2	CALR	169	NP_004334.1
SOCS1	4669	NP_003736.1	PIM2	2244	NP_006866.2
APLNR	2503	NP_005152.1	APLN	2246	NP_059109.3
UPF3B	2247	NP_542199.1	UPF3B	2247	NP_542199.1
UPF1	3254	Q92900	UPF3B	2247	NP_542199.1
TTC19	7899	NP_060245.2	UPF3B	2247	NP_542199.1
UPF2	10405	NP_542166.1	UPF3B	2247	NP_542199.1
XRN1	10470	NP_061874.3	UPF3B	2247	NP_542199.1
MCRS1	11298	NP_001012300.1	UPF3B	2247	NP_542199.1
EXOSC4	16221	NP_061910.1	UPF3B	2247	NP_542199.1
BTK	2248	NP_000052.1	BTK	2248	NP_000052.1
ITGA3	5431	NP_005492.1	CALR	169	NP_004334.1
BTK	2248	NP_000052.1	WAS	2314	NP_000368.1
SYK	2514	NP_003168.2	BTK	2248	NP_000052.1
BTK	2248	NP_000052.1	PLCG2	2570	AAH11772.1
TEC	2786	NP_003206.2	BTK	2248	NP_000052.1
GNAQ	2998	NP_002063.2	BTK	2248	NP_000052.1
CAV1	3028	NP_001744.2	BTK	2248	NP_000052.1
BTK	2248	NP_000052.1	STAT5A	3301	NP_003143.2
BTK	2248	NP_000052.1	GTF2I	3399	NP_127492.1
KHDRBS1	3926	NP_006550.1	BTK	2248	NP_000052.1
GNA12	5093	NP_031379.2	BTK	2248	NP_000052.1
ITGA2B	6377	NP_000410.2	CALR	169	NP_004334.1
BLNK	5153	NP_037446.1	BTK	2248	NP_000052.1
PRKD1	5668	NP_002733.2	BTK	2248	NP_000052.1
WASF2	5796	NP_008921.1	BTK	2248	NP_000052.1
ARID3A	10343	NP_005215.1	BTK	2248	NP_000052.1
SH3BP5	12030	NP_004835.2	BTK	2248	NP_000052.1
IBTK	12105	NP_056340.2	BTK	2248	NP_000052.1
SH2B2	16097	NP_066189.3	BTK	2248	NP_000052.1
GNG2	16234	NP_444292.1	BTK	2248	NP_000052.1
VDAC1	5137	NP_003365.1	DYNLT3	2249	NP_006511.1
RBX1	6794	NP_055063.1	CUL4B	2251	NP_003579.3
SCARF1	6386	NP_003684.2	CALR	169	NP_004334.1
CAND1	6983	NP_060918.2	CUL4B	2251	NP_003579.3
TBP	2511	NP_003185.1	TAF7L	2259	NP_079161.2
NXT2	2264	NP_061168.2	NXF2	2260	NP_060279.2
NUP153	4899	NP_005115.2	NXF2	2260	NP_060279.2
NUP62	5782	NP_714941.1	NXF2	2260	NP_060279.2
HNRNPUL1	10428	NP_008971.2	NXF2	2260	NP_060279.2
NXT1	16159	NP_037380.1	NXF2	2260	NP_060279.2
NXT2	2264	NP_061168.2	NXF3	2261	NP_071335.1
XPO1	3975	NP_003391.1	NXF3	2261	NP_071335.1
PDIA2	7617	NP_006840.2	CALR	169	NP_004334.1
HNRNPUL1	10428	NP_008971.2	NXF3	2261	NP_071335.1
NXT1	16159	NP_037380.1	NXF3	2261	NP_071335.1
PXN	3937	BAA18998.1	REPS2	2262	Q8NFH8
ASAP2	4820	NP_003878.1	REPS2	2262	Q8NFH8
ASAP1	5809	NP_060952.2	REPS2	2262	Q8NFH8
EPN1	6270	NP_001123543.1	REPS2	2262	Q8NFH8
EPS15	8968	NP_001972.1	REPS2	2262	Q8NFH8
RALBP1	9013	NP_006779.1	REPS2	2262	Q8NFH8
REPS1	9687	NP_114128.3	REPS2	2262	Q8NFH8
TRIM21	170	NP_003132.2	TRIM21	170	NP_003132.2
NXF1	4035	NP_006353.2	NXF5	2263	NP_149342.1
NXF1	4035	NP_006353.2	NXT2	2264	NP_061168.2
SSX2IP	10566	NP_054740.3	SSX3	2265	NP_066294.1
ZBTB33	2269	AAH42753.1	ZBTB33	2269	AAH42753.1
NCOR1	2911	NP_006302.2	ZBTB33	2269	AAH42753.1
CTNND1	3026	NP_001078927.1	ZBTB33	2269	AAH42753.1
SLC9A3R1	5406	NP_004243.1	TRPC5	2273	NP_036603.1
STMN2	9003	NP_008960.2	TRPC5	2273	NP_036603.1
PKN1	3019	NP_998725.1	ACTN1	20	NP_001123476.1
USP4	4598	NP_003354.2	TRIM21	170	NP_003132.2
TRPC4	9154	NP_003297.1	TRPC5	2273	NP_036603.1
TRPC1	11894	NP_003295.1	TRPC5	2273	NP_036603.1
ACE2	2274	NP_068576.1	GHRL	5638	NP_057446.1
ACE2	2274	NP_068576.1	NTS	8878	NP_006174.1
DLG4	4199	NP_001356.1	NLGN3	2275	NP_061850.2
DLG2	4663	NP_001136171.1	NLGN3	2275	NP_061850.2
NRXN3	8989	CAC87720.2	NLGN3	2275	NP_061850.2
NRXN1	11858	NP_001129131.1	NLGN3	2275	NP_061850.2
NRXN2	11859	NP_055895.1	NLGN3	2275	NP_061850.2
CDC6	4022	NP_001245.1	PPP2R3B	2276	NP_037371.2
HTATSF1	2282	NP_055315.2	HTATSF1	2282	NP_055315.2
SF3A2	2877	NP_009096.2	HTATSF1	2282	NP_055315.2
SUPT5H	3655	NP_003160.2	HTATSF1	2282	NP_055315.2
SNRPB2	4628	NP_003083.1	HTATSF1	2282	NP_055315.2
POLR2A	8916	NP_000928.1	HTATSF1	2282	NP_055315.2
CDK9	16016	NP_001252.1	HTATSF1	2282	NP_055315.2
SUPT4H1	16026	NP_003159.1	HTATSF1	2282	NP_055315.2
STAM	3542	NP_003464.1	TIMM8A	2287	NP_004076.1
TROVE2	15964	NP_004591.2	TRIM21	170	NP_003132.2
TIMM13	9573	NP_036590.1	TIMM8A	2287	NP_004076.1
